geometry,composition,function,structure
POINT (20.26137499999762 -34.56412499999594),0.8089484572410583,1304,2
POINT (20.34537499999761 -34.56537499999594),0.8621854186058044,1949,10
POINT (19.91037499999766 -34.33462499999597),0.13362173736095428,928,0
POINT (20.551874999997587 -34.31412499999597),0.449903666973114,1073,1
POINT (19.785624999997676 -34.572124999995935),0.5509187579154968,1289,1
POINT (19.808874999997673 -34.523624999995945),0.5446497797966003,1370,10
POINT (20.460874999997596 -34.16087499999598),0.17622493207454681,1022,2
POINT (19.970374999997652 -34.74237499999592),0.9915000200271606,1239,0
POINT (20.389874999997605 -34.391874999995956),0.4860441982746124,1418,5
POINT (19.912124999997662 -34.78862499999591),0.9915000200271606,1658,8
POINT (20.33287499999761 -34.325624999995966),0.18935942649841309,844,10
POINT (20.089374999997638 -34.248374999995974),0.1448322832584381,1031,0
POINT (20.128874999997635 -34.68562499999592),0.19378583133220673,2272,7
POINT (20.107874999997637 -34.31112499999597),0.32660046219825745,751,0
POINT (19.92937499999766 -34.673874999995924),0.20413236320018768,1078,0
POINT (20.22512499999762 -34.21937499999598),0.1534387320280075,718,0
POINT (20.59812499999758 -34.15462499999599),0.18175087869167328,1845,6
POINT (20.34062499999761 -34.21912499999598),0.18039405345916748,739,0
POINT (19.836624999997667 -34.21212499999598),0.1409136950969696,640,10
POINT (20.562374999997584 -34.364124999995965),0.5933302640914917,1406,8
POINT (20.435874999997598 -34.480374999995945),0.9915000200271606,1443,0
POINT (20.017624999997647 -34.672874999995926),0.18258430063724518,1119,0
POINT (20.278374999997617 -34.620874999995934),0.9097246527671814,1289,10
POINT (20.52412499999759 -34.46387499999595),0.9915000200271606,2465,10
POINT (19.867874999997664 -34.73187499999592),0.9915000200271606,1409,9
POINT (19.800874999997674 -34.56437499999594),0.5509187579154968,1028,0
POINT (20.02237499999765 -34.743374999995915),0.21009059250354767,1641,0
POINT (19.777124999997675 -34.45012499999595),0.5319100618362427,1532,1
POINT (20.24662499999762 -34.272624999995976),0.4400211274623871,1078,6
POINT (20.15937499999763 -34.65437499999593),0.38138264417648315,1317,2
POINT (20.302624999997615 -34.56287499999594),0.8588441610336304,1619,7
POINT (19.849374999997668 -34.54862499999594),0.5430565476417542,1954,10
POINT (19.949874999997657 -34.78837499999591),0.9915000200271606,1841,8
POINT (20.468374999997597 -34.49612499999595),0.9915000200271606,353,3
POINT (19.801874999997672 -34.20037499999598),0.17428062856197357,920,1
POINT (20.055874999997645 -34.71587499999592),0.19355875253677368,1377,5
POINT (20.569124999997584 -34.35562499999596),0.5978163480758667,1335,4
POINT (19.99612499999765 -34.27337499999597),0.12769918143749237,784,0
